FECHA,LINEA,PAX_PAGOS,PAX_PASES_PAGOS,PAX_FREQ,TOTAL,DIA DE LA SEMANA,PRECIPITACION,FERIADO,RAZON DEL FERIADO
2016-01-01,A,12832.0,14.0,795.0,13641.0,Friday,0.0,1,inamovible
2016-01-02,A,43739.0,26.0,2326.0,46091.0,Saturday,0.0,0, no es feriado 
2016-01-03,A,23388.0,6.0,1513.0,24907.0,Sunday,0.9,0, no es feriado 
2016-01-04,A,155840.0,235.0,6085.0,162160.0,Monday,0.0,0, no es feriado 
2016-01-05,A,164772.0,215.0,6163.0,171150.0,Tuesday,0.0,0, no es feriado 
2016-01-06,A,167550.0,203.0,6322.0,174075.0,Wednesday,0.0,0, no es feriado 
2016-01-07,A,158151.0,188.0,5840.0,164179.0,Thursday,0.0,0, no es feriado 
2016-01-08,A,162073.0,174.0,6116.0,168363.0,Friday,0.0,0, no es feriado 
2016-01-09,A,56503.0,22.0,2934.0,59459.0,Saturday,2.0,0, no es feriado 
2016-01-10,A,24825.0,10.0,1539.0,26374.0,Sunday,0.0,0, no es feriado 
2016-01-11,A,160338.0,123.0,6055.0,166516.0,Monday,0.0,0, no es feriado 
2016-01-12,A,167813.0,133.0,5955.0,173901.0,Tuesday,0.0,0, no es feriado 
2016-01-13,A,161921.0,110.0,6136.0,168167.0,Wednesday,0.0,0, no es feriado 
2016-01-14,A,160387.0,100.0,5892.0,166379.0,Thursday,0.0,0, no es feriado 
2016-01-15,A,157199.0,113.0,6012.0,163324.0,Friday,0.0,0, no es feriado 
2016-01-16,A,52405.0,10.0,2692.0,55107.0,Saturday,0.0,0, no es feriado 
2016-01-17,A,24756.0,4.0,1533.0,26293.0,Sunday,0.0,0, no es feriado 
2016-01-18,A,154708.0,92.0,5766.0,160566.0,Monday,0.0,0, no es feriado 
2016-01-19,A,154828.0,75.0,5848.0,160751.0,Tuesday,0.0,0, no es feriado 
2016-01-20,A,153021.0,63.0,5662.0,158746.0,Wednesday,0.0,0, no es feriado 
2016-01-21,A,152851.0,88.0,5664.0,158603.0,Thursday,4.0,0, no es feriado 
2016-01-22,A,145629.0,71.0,5229.0,150929.0,Friday,0.0,0, no es feriado 
2016-01-23,A,49074.0,9.0,2577.0,51660.0,Saturday,7.0,0, no es feriado 
2016-01-24,A,23564.0,4.0,1428.0,24996.0,Sunday,0.0,0, no es feriado 
2016-01-25,A,150654.0,81.0,5458.0,156193.0,Monday,0.0,0, no es feriado 
2016-01-26,A,154258.0,71.0,5703.0,160032.0,Tuesday,0.0,0, no es feriado 
2016-01-27,A,157637.0,68.0,5688.0,163393.0,Wednesday,0.0,0, no es feriado 
2016-01-28,A,147943.0,68.0,5577.0,153588.0,Thursday,3.0,0, no es feriado 
2016-01-29,A,150147.0,61.0,5454.0,155662.0,Friday,0.0,0, no es feriado 
2016-01-30,A,54252.0,15.0,2904.0,57171.0,Saturday,0.0,0, no es feriado 
