FECHA,TOTAL,PRECIPITACION,PRECIPITACION_LAG1,PRECIPITACION_LAG2
2016-01-01,13641.0,0.0,0.0,0.0
2016-01-02,46091.0,0.0,0.0,0.0
2016-01-03,24907.0,0.9,0.0,0.0
2016-01-04,162160.0,0.0,0.9,0.0
2016-01-05,171150.0,0.0,0.0,0.9
2016-01-06,174075.0,0.0,0.0,0.0
2016-01-07,164179.0,0.0,0.0,0.0
2016-01-08,168363.0,0.0,0.0,0.0
2016-01-09,59459.0,2.0,0.0,0.0
2016-01-10,26374.0,0.0,2.0,0.0
2016-01-11,166516.0,0.0,0.0,2.0
2016-01-12,173901.0,0.0,0.0,0.0
2016-01-13,168167.0,0.0,0.0,0.0
2016-01-14,166379.0,0.0,0.0,0.0
2016-01-15,163324.0,0.0,0.0,0.0
2016-01-16,55107.0,0.0,0.0,0.0
2016-01-17,26293.0,0.0,0.0,0.0
2016-01-18,160566.0,0.0,0.0,0.0
2016-01-19,160751.0,0.0,0.0,0.0
2016-01-20,158746.0,0.0,0.0,0.0
2016-01-21,158603.0,4.0,0.0,0.0
2016-01-22,150929.0,0.0,4.0,0.0
2016-01-23,51660.0,7.0,0.0,4.0
2016-01-24,24996.0,0.0,7.0,0.0
2016-01-25,156193.0,0.0,0.0,7.0
2016-01-26,160032.0,0.0,0.0,0.0
2016-01-27,163393.0,0.0,0.0,0.0
2016-01-28,153588.0,3.0,0.0,0.0
2016-01-29,155662.0,0.0,3.0,0.0
2016-01-30,57171.0,0.0,0.0,3.0
2016-01-31,27862.0,0.0,0.0,0.0
2016-02-01,167632.0,0.0,0.0,0.0
2016-02-02,171059.0,0.0,0.0,0.0
2016-02-03,173926.0,0.0,0.0,0.0
2016-02-04,171318.0,0.0,0.0,0.0
2016-02-05,170546.0,0.0,0.0,0.0
2016-02-06,57902.0,40.0,0.0,0.0
2016-02-07,24936.0,10.0,40.0,0.0
2016-02-08,31164.0,0.0,10.0,40.0
2016-02-09,32398.0,0.0,0.0,10.0
2016-02-10,176280.0,0.0,0.0,0.0
2016-02-11,176307.0,45.0,0.0,0.0
2016-02-12,170429.0,0.0,45.0,0.0
2016-02-13,55422.0,0.0,0.0,45.0
2016-02-14,29999.0,0.0,0.0,0.0
2016-02-15,170079.0,39.0,0.0,0.0
2016-02-16,172168.0,0.0,39.0,0.0
2016-02-17,173873.0,31.0,0.0,39.0
2016-02-18,180146.0,3.0,31.0,0.0
2016-02-19,165869.0,0.0,3.0,31.0
2016-02-20,64610.0,0.0,0.0,3.0
2016-02-21,29649.0,0.0,0.0,0.0
2016-02-22,179878.0,0.0,0.0,0.0
2016-02-23,183596.0,0.0,0.0,0.0
2016-02-24,178634.0,7.0,0.0,0.0
2016-02-25,188193.0,15.0,7.0,0.0
2016-02-26,171992.0,0.0,15.0,7.0
2016-02-27,67337.0,0.0,0.0,15.0
2016-02-28,29861.0,4.0,0.0,0.0
2016-02-29,184899.0,0.0,4.0,0.0
2016-03-01,181894.0,0.0,0.0,4.0
2016-03-02,194387.0,0.0,0.0,0.0
2016-03-03,196411.0,3.0,0.0,0.0
2016-03-04,196113.0,0.0,3.0,0.0
2016-03-05,72278.0,0.0,0.0,3.0
2016-03-06,32137.0,0.0,0.0,0.0
2016-03-07,197562.0,0.0,0.0,0.0
2016-03-08,204883.0,0.0,0.0,0.0
2016-03-09,197270.0,0.2,0.0,0.0
2016-03-10,201665.0,0.0,0.2,0.0
2016-03-11,200694.0,0.0,0.0,0.2
2016-03-12,78386.0,0.0,0.0,0.0
2016-03-13,34333.0,0.0,0.0,0.0
2016-03-14,202990.0,0.0,0.0,0.0
2016-03-15,217748.0,0.0,0.0,0.0
2016-03-16,219423.0,28.0,0.0,0.0
2016-03-17,205765.0,0.9,28.0,0.0
2016-03-18,187104.0,0.0,0.9,28.0
2016-03-19,79753.0,11.0,0.0,0.9
2016-03-20,35688.0,2.0,11.0,0.0
2016-03-21,206792.0,0.0,2.0,11.0
2016-03-22,213284.0,0.0,0.0,2.0
2016-03-23,178831.0,0.0,0.0,0.0
2016-03-24,86776.0,0.0,0.0,0.0
2016-03-25,37294.0,4.0,0.0,0.0
2016-03-26,62487.0,0.0,4.0,0.0
2016-03-27,30601.0,0.0,0.0,4.0
2016-03-28,205740.0,0.0,0.0,0.0
2016-03-29,208198.0,0.0,0.0,0.0
2016-03-30,213012.0,0.0,0.0,0.0
2016-03-31,207968.0,52.0,0.0,0.0
2016-04-01,196768.0,10.0,52.0,0.0
2016-04-02,56181.0,1.0,10.0,52.0
2016-04-03,36522.0,24.0,1.0,10.0
2016-04-04,205358.0,15.0,24.0,1.0
2016-04-05,217403.0,0.0,15.0,24.0
2016-04-06,217167.0,2.0,0.0,15.0
2016-04-07,221342.0,8.0,2.0,0.0
2016-04-08,216863.0,4.0,8.0,2.0
2016-04-09,86184.0,1.0,4.0,8.0
2016-04-10,34416.0,0.0,1.0,4.0
2016-04-11,218534.0,6.0,0.0,1.0
2016-04-12,222672.0,2.0,6.0,0.0
2016-04-13,214493.0,4.0,2.0,6.0
2016-04-14,221463.0,28.0,4.0,2.0
2016-04-15,204245.0,0.5,28.0,4.0
2016-04-16,80235.0,8.0,0.5,28.0
2016-04-17,31078.0,33.0,8.0,0.5
2016-04-18,222775.0,3.0,33.0,8.0
2016-04-19,217934.0,0.0,3.0,33.0
2016-04-20,230413.0,0.0,0.0,3.0
2016-04-21,222930.0,0.5,0.0,0.0
2016-04-22,219758.0,0.0,0.5,0.0
2016-04-23,85791.0,30.0,0.0,0.5
2016-04-24,35870.0,0.8,30.0,0.0
2016-04-25,209944.0,0.0,0.8,30.0
2016-04-26,219357.0,0.0,0.0,0.8
2016-04-27,220034.0,0.0,0.0,0.0
2016-04-28,218720.0,0.0,0.0,0.0
2016-04-29,209418.0,0.0,0.0,0.0
2016-04-30,88577.0,0.0,0.0,0.0
2016-05-01,34312.0,0.0,0.0,0.0
2016-05-02,216992.0,0.0,0.0,0.0
2016-05-03,223948.0,0.0,0.0,0.0
2016-05-04,227797.0,3.0,0.0,0.0
2016-05-05,233599.0,0.0,3.0,0.0
2016-05-06,223921.0,0.0,0.0,3.0
2016-05-07,100808.0,0.0,0.0,0.0
2016-05-08,40445.0,0.0,0.0,0.0
2016-05-09,217634.0,0.0,0.0,0.0
2016-05-10,223080.0,0.0,0.0,0.0
2016-05-11,225419.0,0.0,0.0,0.0
2016-05-12,230789.0,0.0,0.0,0.0
2016-05-13,213162.0,0.3,0.0,0.0
2016-05-14,87147.0,3.0,0.3,0.0
2016-05-15,32576.0,0.0,3.0,0.3
2016-05-16,216079.0,0.0,0.0,3.0
2016-05-17,220041.0,0.0,0.0,0.0
2016-05-18,222457.0,0.0,0.0,0.0
2016-05-19,224484.0,0.0,0.0,0.0
2016-05-20,221960.0,0.0,0.0,0.0
2016-05-21,86843.0,0.0,0.0,0.0
2016-05-22,39376.0,0.0,0.0,0.0
2016-05-23,218720.0,0.0,0.0,0.0
2016-05-24,226922.0,0.0,0.0,0.0
2016-05-25,47296.0,0.0,0.0,0.0
2016-05-26,223661.0,1.0,0.0,0.0
2016-05-27,217177.0,31.0,1.0,0.0
2016-05-28,82045.0,4.0,31.0,1.0
2016-05-29,30250.0,0.3,4.0,31.0
2016-05-30,216252.0,0.0,0.3,4.0
2016-05-31,222208.0,0.7,0.0,0.3
2016-06-01,223653.0,3.0,0.7,0.0
2016-06-02,228010.0,2.0,3.0,0.7
2016-06-03,240658.0,4.0,2.0,3.0
2016-06-04,79687.0,0.0,4.0,2.0
2016-06-05,40325.0,0.0,0.0,4.0
2016-06-06,225109.0,0.0,0.0,0.0
2016-06-07,227064.0,0.0,0.0,0.0
2016-06-08,228776.0,0.8,0.0,0.0
2016-06-09,227500.0,0.0,0.8,0.0
2016-06-10,230542.0,0.0,0.0,0.8
2016-06-11,92025.0,0.0,0.0,0.0
2016-06-12,39180.0,0.0,0.0,0.0
2016-06-13,223009.0,0.0,0.0,0.0
2016-06-14,229087.0,0.0,0.0,0.0
2016-06-15,257476.0,0.0,0.0,0.0
2016-06-16,241758.0,0.0,0.0,0.0
2016-06-17,61392.0,0.0,0.0,0.0
2016-06-18,84458.0,0.0,0.0,0.0
2016-06-19,36661.0,0.0,0.0,0.0
2016-06-20,38498.0,0.0,0.0,0.0
2016-06-21,224277.0,0.0,0.0,0.0
2016-06-22,225176.0,0.0,0.0,0.0
2016-06-23,227275.0,0.0,0.0,0.0
2016-06-24,226361.0,0.0,0.0,0.0
2016-06-25,84288.0,13.0,0.0,0.0
2016-06-26,31404.0,7.0,13.0,0.0
2016-06-27,188172.0,0.0,7.0,13.0
2016-06-28,223153.0,0.3,0.0,7.0
2016-06-29,225750.0,3.0,0.3,0.0
2016-06-30,223192.0,5.0,3.0,0.3
2016-07-01,220887.0,40.0,5.0,3.0
2016-07-02,80099.0,48.0,40.0,5.0
2016-07-03,29752.0,1.0,48.0,40.0
2016-07-04,209469.0,5.0,1.0,48.0
2016-07-05,224859.0,0.0,5.0,1.0
2016-07-06,230472.0,0.0,0.0,5.0
2016-07-07,240144.0,0.0,0.0,0.0
2016-07-08,68459.0,0.0,0.0,0.0
2016-07-09,65497.0,0.0,0.0,0.0
2016-07-10,38965.0,15.0,0.0,0.0
2016-07-11,221493.0,0.0,15.0,0.0
2016-07-12,228410.0,0.0,0.0,15.0
2016-07-13,227625.0,1.0,0.0,0.0
2016-07-14,235497.0,0.0,1.0,0.0
2016-07-15,225870.0,0.0,0.0,1.0
2016-07-16,90560.0,0.0,0.0,0.0
2016-07-17,41587.0,0.0,0.0,0.0
2016-07-18,202990.0,0.0,0.0,0.0
2016-07-19,211125.0,0.0,0.0,0.0
2016-07-20,206909.0,0.0,0.0,0.0
2016-07-21,199195.0,0.0,0.0,0.0
2016-07-22,199643.0,0.0,0.0,0.0
2016-07-23,88353.0,0.0,0.0,0.0
2016-07-24,42203.0,29.0,0.0,0.0
